"Path","Length","LastWriteTime"
"outputs\chapter08\8_3_lowess_tag_count.png","193016","2026/7/13 10:19:05"
"outputs\chapter08\8_3_lowess_title_body_overlap.png","114860","2026/7/13 10:19:15"
"outputs\chapter08\.ipynb_checkpoints\8_1_high_correlation_pairs-checkpoint.csv","75","2026/7/13 10:19:01"
"outputs\chapter08\.ipynb_checkpoints\8_3_lowess_log_fans-checkpoint.png","392830","2026/7/13 10:19:04"
"outputs\chapter08\.ipynb_checkpoints\build_chapter8_notebook-checkpoint.py","14592","2026/7/13 10:18:16"
"outputs\chapter10\10_1_data_file_audit.csv","4725","2026/7/14 17:18:02"
"outputs\chapter10\10_1_experiment_metadata.json","491","2026/7/14 17:18:29"
"outputs\chapter10\10_2_to_10_5_classification_reports.json","3596","2026/7/14 17:18:29"
"outputs\chapter10\10_2_to_10_5_model_metrics.csv","912","2026/7/14 17:18:29"
"outputs\chapter10\10_4_1_random_forest_importance.csv","353","2026/7/14 17:18:29"
"outputs\chapter10\10_model_pr_auc.png","58141","2026/7/14 17:18:29"
"report\IEEEtran.bst","61632","2007/1/11 4:43:50"
"report\IEEEtran.cls","282417","2014/9/17 11:01:30"
"report\IEEEtranS.bst","65393","2007/1/11 4:43:50"
"report\main.tex","7332","2026/7/15 10:30:37"
"report\structure.tex","19831","2026/7/15 10:32:49"
"report\StyleInd.ist","331","2015/11/15 11:15:44"
"report\bibliography\bibliography.bib","416","2019/2/11 13:58:29"
"report\bibliography\IEEEexample_2015_09_11.bib","223549","2023/5/29 16:52:05"
"report\figures\1.png","499707","2020/3/29 16:21:29"
"report\figures\10.png","121464","2020/3/29 16:50:54"
"report\figures\11.png","192747","2020/3/29 16:53:12"
"report\figures\12.png","47195","2020/3/29 17:14:51"
"report\figures\13.png","35662","2020/3/29 17:18:00"
"report\figures\14.png","25726","2020/3/29 17:19:14"
"report\figures\15.png","134931","2020/3/30 11:58:10"
"report\figures\16.png","670245","2026/3/21 9:30:00"
"report\figures\17.png","714348","2026/3/21 9:30:20"
"report\figures\2.png","174064","2020/3/29 16:27:52"
"report\figures\3.png","103964","2020/3/29 16:28:09"
"report\figures\4.png","109284","2020/3/29 16:28:28"
"report\figures\5.png","193791","2020/3/29 16:36:45"
"report\figures\6.png","83311","2020/3/29 16:37:05"
"report\figures\7.png","154180","2020/3/29 16:40:41"
"report\figures\8.png","57568","2020/3/29 16:40:55"
"report\figures\9.png","189491","2020/3/29 16:46:23"
"report\figures\after_cleaning.pdf","529657","2026/2/12 2:15:01"
"report\figures\background.pdf","15253","2013/3/24 17:54:38"
"report\figures\before_cleaning.pdf","1020136","2026/2/12 2:00:05"
"report\figures\CaiZhuan.pdf","4672002","2026/2/11 23:20:41"
"report\figures\chapter8_lowess_content.png","275126","2026/7/13 10:19:05"
"report\figures\chapter8_lowess_emotion.png","385437","2026/7/13 10:19:14"
"report\figures\chapter8_lowess_fans.png","392830","2026/7/13 10:19:04"
"report\figures\chapter8_pearson_heatmap.png","231369","2026/7/13 10:19:01"
"report\figures\chapter8_target_ranking.png","77837","2026/7/13 10:19:02"
"report\figures\chapter8_weekday.png","59434","2026/7/13 10:19:03"
"report\figures\chapter_head_1.pdf","92598","2012/10/21 17:40:22"
"report\figures\chapter_head_2.pdf","156812","2013/3/20 2:50:02"
"report\figures\clve.pdf","77621","2026/5/5 18:39:38"
"report\figures\edl.pdf","42285","2026/5/5 18:39:39"
"report\figures\eve.pdf","93763","2026/5/5 18:39:38"
"report\figures\hexbin_density.pdf","405317","2026/5/16 17:46:05"
"report\figures\holiday_effect.pdf","81689","2026/5/21 0:23:10"
"report\figures\holiday_effect.png","32454","2026/5/21 0:08:56"
"report\figures\JiaDian.pdf","1071164","2026/2/12 3:40:35"
"report\figures\lowess.pdf","163526","2026/5/5 18:39:40"
"report\figures\note_page_fields.pdf","1222819","2026/2/11 20:02:24"
"report\figures\ol.pdf","45991","2026/5/5 18:39:40"
"report\figures\placeholder.jpg","20279","2013/2/4 22:51:36"
"report\figures\province_analysis.pdf","240564","2026/5/21 0:23:11"
"report\figures\province_analysis.png","64063","2026/5/21 0:09:10"
"report\figures\user_page_fields.pdf","2204565","2026/2/11 22:46:03"
"report\figures\weekday_effect.pdf","170778","2026/5/21 0:23:12"
"report\figures\weekday_effect.png","52830","2026/5/20 23:58:55"
"report\final\main.pdf","15469451","2026/7/15 10:35:12"
"report\final\RedBook_Research_Plan_20260204.pdf","15469445","2026/7/14 16:47:37"
"report\parts\Part_Background.tex","11941","2026/2/4 20:22:10"
"report\parts\Part_ClassificationModel.tex","17230","2026/7/14 16:46:17"
"report\parts\Part_ConclusionAndFutureWorks.tex","93","2026/2/4 23:16:10"
"report\parts\Part_DataAnalysis.tex","37570","2026/7/14 12:55:50"
"report\parts\Part_DataCollection.tex","18147","2026/7/13 16:22:39"
"report\parts\Part_ExperimentalResults.tex","12459","2026/7/13 16:22:44"
"report\parts\Part_PredictionModel.tex","17133","2026/7/13 16:22:43"
"scripts\build_chapter8_notebook.py","14700","2026/7/15 10:32:48"
"tmp\tmp_pdf_text.txt","137207","2026/7/14 16:41:46"
"tmp\ipynb_checkpoints\chapter10_classification-checkpoint.ipynb","70837","2026/7/14 17:18:31"
"tmp\ipynb_checkpoints\chapter10_classification-checkpoint.py","9530","2026/7/14 16:44:06"
"tmp\ipynb_checkpoints\chapter8_correlation_analysis-checkpoint.ipynb","18317","2026/7/13 10:18:42"
"tmp\ipynb_checkpoints\chapter8_correlation_analysis_executed-checkpoint.ipynb","1226261","2026/7/13 10:19:15"
"tmp\pdfs\chapter10\page-57.png","750592","2026/7/14 16:48:51"
"tmp\pdfs\chapter10\page-58.png","378796","2026/7/14 16:48:51"
"tmp\pdfs\chapter10\page-59.png","401723","2026/7/14 16:48:51"
"tmp\pdfs\chapter10\page-60.png","259239","2026/7/14 16:48:51"
"tmp\pdfs\chapter10\page-61.png","722760","2026/7/14 16:48:52"
"tmp\pdfs\chapter10\page-62.png","288663","2026/7/14 16:48:53"
